Brand,Model_Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Mileage_kmpl,Mileage_km/kg,Power_m,Engine_m
Maruti,Wagon,Mumbai,2010,72000,CNG,Manual,1,5.0,1.75,18.0,26.6,58.16,998.0
Hyundai,Creta,Pune,2015,41000,Diesel,Manual,1,5.0,12.5,19.67,0.0,126.2,1582.0
Honda,Jazz,Chennai,2011,46000,Petrol,Manual,1,5.0,4.5,18.2,0.0,88.7,1199.0
Maruti,Ertiga,Chennai,2012,87000,Diesel,Manual,1,7.0,6.0,20.77,0.0,88.76,1248.0
Audi,A4,Coimbatore,2013,40670,Diesel,Automatic,2,5.0,17.74,15.2,0.0,140.8,1968.0
Hyundai,EON,Hyderabad,2012,75000,LPG,Manual,1,5.0,2.35,18.0,21.1,55.2,814.0
Nissan,Micra,Jaipur,2013,86999,Diesel,Manual,1,5.0,3.5,23.08,0.0,63.1,1461.0
Toyota,Innova,Mumbai,2016,36000,Diesel,Automatic,1,8.0,17.5,11.36,0.0,171.5,2755.0
Volkswagen,Vento,Pune,2013,64430,Diesel,Manual,1,5.0,5.2,20.54,0.0,103.6,1598.0
Tata,Indica,Chennai,2012,65932,Diesel,Manual,2,5.0,1.95,22.3,0.0,74.0,1248.0
Maruti,Ciaz,Kochi,2018,25692,Petrol,Manual,1,5.0,9.95,21.56,0.0,103.25,1462.0
Honda,City,Kolkata,2012,60000,Petrol,Automatic,1,5.0,4.49,16.8,0.0,116.3,1497.0
Maruti,Swift,Jaipur,2015,64424,Diesel,Manual,1,5.0,5.6,25.2,0.0,74.0,1248.0
Land,Rover,Delhi,2014,72000,Diesel,Automatic,1,5.0,27.0,12.7,0.0,187.7,2179.0
Land,Rover,Pune,2012,85000,Diesel,Automatic,2,5.0,17.5,18.0,0.0,115.0,2179.0
Mitsubishi,Pajero,Delhi,2014,110000,Diesel,Manual,1,7.0,15.0,13.5,0.0,175.56,2477.0
Honda,Amaze,Kochi,2016,58950,Diesel,Manual,1,5.0,5.4,25.8,0.0,98.6,1498.0
Maruti,Swift,Jaipur,2017,25000,Diesel,Manual,1,5.0,5.99,28.4,0.0,74.0,1248.0
Renault,Duster,Kochi,2014,77469,Diesel,Manual,1,5.0,6.34,20.45,0.0,83.8,1461.0
Mercedes-Benz,New,Bangalore,2014,78500,Diesel,Automatic,1,5.0,28.0,14.84,0.0,167.62,2143.0
BMW,3,Kochi,2014,32982,Diesel,Automatic,1,5.0,18.55,22.69,0.0,190.0,1995.0
Maruti,S,Bangalore,2015,55392,Diesel,Manual,2,5.0,8.25,23.65,0.0,88.5,1248.0
Audi,A6,Mumbai,2015,55985,Petrol,Automatic,1,5.0,23.5,13.53,0.0,177.01,1984.0
Hyundai,i20,Kolkata,2010,45807,Petrol,Manual,1,5.0,1.87,18.5,0.0,80.0,1197.0
Volkswagen,Vento,Kolkata,2010,33000,Petrol,Automatic,1,5.0,2.85,14.4,0.0,103.6,1598.0
Honda,City,Mumbai,2012,51920,Petrol,Manual,1,5.0,4.25,16.8,0.0,116.3,1497.0
Nissan,Micra,Hyderabad,2012,54000,Diesel,Manual,1,5.0,4.25,23.08,0.0,63.1,1461.0
Maruti,Alto,Hyderabad,2013,54000,Petrol,Manual,2,5.0,2.75,20.92,0.0,67.1,998.0
Honda,WRV,Kochi,2018,37430,Petrol,Manual,1,5.0,9.9,17.5,0.0,88.7,1199.0
Toyota,Innova,Mumbai,2007,262000,Diesel,Manual,4,7.0,4.0,12.8,0.0,102.0,2494.0
Renault,Duster,Bangalore,2013,62000,Diesel,Manual,1,5.0,7.75,19.01,0.0,108.45,1461.0
Toyota,Corolla,Delhi,2012,87615,Petrol,Manual,1,5.0,6.75,14.53,0.0,138.1,1798.0
Mahindra,Ssangyong,Bangalore,2013,72000,Diesel,Automatic,2,7.0,12.5,11.18,0.0,184.0,2696.0
Audi,A6,Kolkata,2010,35000,Diesel,Automatic,1,5.0,11.5,12.4,0.0,179.5,2698.0
Volkswagen,Vento,Coimbatore,2014,55431,Petrol,Manual,2,5.0,6.98,16.09,0.0,103.5,1598.0
Maruti,Wagon,Jaipur,2009,83816,Petrol,Manual,2,5.0,1.85,14.0,0.0,64.0,1061.0
Maruti,Vitara,Kochi,2018,50075,Diesel,Manual,1,5.0,8.63,24.3,0.0,88.5,1248.0
Mahindra,KUV,Delhi,2017,52000,Petrol,Manual,1,5.0,4.85,18.15,0.0,82.0,1198.0
Mercedes-Benz,M-Class,Pune,2013,85000,Diesel,Automatic,1,5.0,28.0,11.74,0.0,254.8,2987.0
Volkswagen,Polo,Chennai,2013,62000,Diesel,Manual,1,5.0,5.0,22.07,0.0,73.9,1199.0
Maruti,Alto,Delhi,2008,90000,Petrol,Manual,2,5.0,1.25,19.7,0.0,46.3,796.0
Tata,Nano,Kochi,2014,19698,Petrol,Manual,1,4.0,1.53,25.4,0.0,37.5,624.0
Mahindra,KUV,Coimbatore,2017,22033,Diesel,Manual,1,6.0,5.58,25.32,0.0,77.0,1198.0
Hyundai,i20,Kochi,2014,35487,Petrol,Manual,1,5.0,4.74,18.5,0.0,82.9,1197.0
Hyundai,Elantra,Bangalore,2014,46374,Petrol,Automatic,1,5.0,8.85,14.62,0.0,149.92,1999.0
Toyota,Corolla,Mumbai,2016,52001,Petrol,Automatic,1,5.0,10.11,14.28,0.0,138.03,1798.0
Hyundai,Elantra,Ahmedabad,2008,58005,Diesel,Manual,2,5.0,4.25,14.9,0.0,112.2,1991.0
Toyota,Innova,Bangalore,2012,70704,Petrol,Manual,1,7.0,10.95,11.25,0.0,163.7,2694.0
Hyundai,Xcent,Jaipur,2014,75000,Diesel,Manual,1,5.0,3.85,24.4,0.0,71.0,1120.0
Mahindra,Thar,Jaipur,2012,75800,Diesel,Manual,2,6.0,5.5,16.55,0.0,105.0,2498.0
Audi,A4,Kochi,2015,13648,Diesel,Automatic,1,5.0,21.43,17.11,0.0,174.33,1968.0
Maruti,Swift,Delhi,2014,52000,Diesel,Manual,1,5.0,4.25,22.9,0.0,74.0,1248.0
Maruti,Swift,Kolkata,2014,53000,Diesel,Manual,1,5.0,3.3,17.8,0.0,75.0,1248.0
Maruti,Swift,Delhi,2013,65650,Diesel,Manual,1,5.0,3.85,28.4,0.0,74.0,1248.0
Hyundai,Grand,Chennai,2015,54000,Petrol,Manual,3,5.0,3.6,18.9,0.0,82.0,1197.0
Volkswagen,Vento,Kolkata,2015,39000,Petrol,Manual,1,5.0,3.99,15.04,0.0,103.2,1598.0
Renault,KWID,Kochi,2017,16542,Petrol,Manual,1,5.0,3.3,25.17,0.0,53.3,799.0
Hyundai,i10,Kolkata,2010,32000,Petrol,Manual,1,5.0,2.07,20.36,0.0,78.9,1197.0
Nissan,X-Trail,Hyderabad,2010,121812,Diesel,Automatic,1,5.0,7.75,13.29,0.0,147.6,1995.0
Maruti,Zen,Hyderabad,2010,39300,Petrol,Manual,1,5.0,2.25,18.2,0.0,67.1,998.0
Toyota,Innova,Mumbai,2017,22000,Diesel,Manual,1,8.0,16.5,13.68,0.0,147.8,2393.0
Ford,Figo,Bangalore,2010,72000,Diesel,Manual,1,5.0,2.75,20.0,0.0,68.0,1399.0
Mercedes-Benz,New,Delhi,2015,58000,Petrol,Automatic,1,5.0,26.7,11.74,0.0,186.0,1796.0
Mercedes-Benz,New,Pune,2011,65000,Diesel,Manual,2,5.0,10.0,15.8,0.0,170.0,2148.0
Tata,Indica,Chennai,2016,178000,Diesel,Manual,1,5.0,2.5,25.0,0.0,69.0,1396.0
Audi,A4,Jaipur,2012,65664,Diesel,Automatic,1,5.0,13.5,16.55,0.0,140.0,1968.0
Honda,City,Mumbai,2007,63000,Petrol,Automatic,2,5.0,1.85,16.4,0.0,78.0,1497.0
Mercedes-Benz,C-Class,Coimbatore,2019,15369,Diesel,Automatic,1,5.0,35.67,18.0,0.0,194.0,1950.0
Maruti,Ertiga,Pune,2016,63000,Diesel,Manual,1,7.0,8.15,24.52,0.0,88.5,1248.0
Hyundai,Creta,Mumbai,2018,13000,Diesel,Manual,1,5.0,10.5,22.1,0.0,88.7,1396.0
Porsche,Cayenne,Mumbai,2008,73000,Petrol,Automatic,1,5.0,14.5,8.5,0.0,500.0,4806.0
Mahindra,XUV500,Mumbai,2015,55729,Diesel,Manual,1,7.0,9.65,15.1,0.0,140.0,2179.0
Hyundai,i10,Kochi,2012,45178,Petrol,Automatic,1,5.0,3.48,16.95,0.0,78.9,1197.0
Nissan,Terrano,Kochi,2015,56066,Diesel,Manual,1,5.0,6.92,19.64,0.0,108.5,1461.0
Honda,Brio,Coimbatore,2016,37300,Petrol,Automatic,2,5.0,6.46,16.5,0.0,86.8,1198.0
Audi,A6,Delhi,2014,56000,Diesel,Automatic,2,5.0,29.5,18.53,0.0,187.74,1968.0
Ford,Fiesta,Jaipur,2008,111111,Diesel,Manual,1,5.0,2.0,17.8,0.0,110.0,1399.0
